Image Name,Mode,Channel,MEAN(X),MEAN(Y),VAR(X),VAR(Y),"COV(X,Y)","Correlation(X,Y)"
01_Airplane.bmp,HD,R Channel,177.54,177.52,1979.76,1979.45,1925.45,0.972641
01_Airplane.bmp,HD,G Channel,177.80,178.20,2689.45,2630.50,2547.53,0.957787
01_Airplane.bmp,HD,B Channel,190.17,190.20,1039.86,1038.85,1001.92,0.963982
01_Airplane.bmp,VD,R Channel,177.83,177.63,1948.86,1977.72,1878.46,0.956816
01_Airplane.bmp,VD,G Channel,177.96,177.86,2686.67,2690.97,2602.12,0.967756
01_Airplane.bmp,VD,B Channel,190.48,190.20,1002.86,1040.84,955.59,0.935325
01_Airplane.bmp,DD,R Channel,177.79,177.57,1949.92,1978.50,1835.18,0.934333
01_Airplane.bmp,DD,G Channel,177.90,178.20,2688.99,2634.33,2482.12,0.932594
01_Airplane.bmp,DD,B Channel,190.44,190.19,1003.67,1040.66,934.70,0.914583
01_Airplane_en.bmp,HD,R Channel,127.52,127.52,5465.99,5466.66,6.26,0.001145
01_Airplane_en.bmp,HD,G Channel,127.35,127.36,5471.17,5470.67,-26.71,-0.004882
01_Airplane_en.bmp,HD,B Channel,127.42,127.43,5450.91,5451.58,5.34,0.000980
01_Airplane_en.bmp,VD,R Channel,127.52,127.51,5466.99,5466.69,-0.06,-0.000011
01_Airplane_en.bmp,VD,G Channel,127.37,127.36,5470.77,5470.47,8.52,0.001558
01_Airplane_en.bmp,VD,B Channel,127.43,127.45,5450.95,5451.24,19.13,0.003509
01_Airplane_en.bmp,DD,R Channel,127.53,127.52,5466.20,5466.60,-12.75,-0.002332
01_Airplane_en.bmp,DD,G Channel,127.36,127.36,5470.88,5470.08,-4.88,-0.000893
01_Airplane_en.bmp,DD,B Channel,127.42,127.44,5450.77,5451.75,2.46,0.000452
02_Baboon.bmp,HD,R Channel,137.45,137.37,3082.89,3081.03,2844.86,0.923070
02_Baboon.bmp,HD,G Channel,128.88,128.85,2284.29,2282.37,1976.18,0.865483
02_Baboon.bmp,HD,B Channel,113.17,113.18,3810.82,3808.96,3456.89,0.907348
02_Baboon.bmp,VD,R Channel,137.64,137.43,3054.65,3082.51,2657.25,0.865962
02_Baboon.bmp,VD,G Channel,129.09,128.85,2259.24,2282.54,1737.23,0.765009
02_Baboon.bmp,VD,B Channel,113.32,113.13,3793.50,3809.33,3348.64,0.880895
02_Baboon.bmp,DD,R Channel,137.70,137.41,3057.34,3083.36,2623.11,0.854344
02_Baboon.bmp,DD,G Channel,129.11,128.84,2261.51,2282.88,1669.59,0.734798
02_Baboon.bmp,DD,B Channel,113.37,113.19,3797.55,3811.53,3195.27,0.839859
02_Baboon_en.bmp,HD,R Channel,127.71,127.70,5437.21,5436.79,18.11,0.003331
02_Baboon_en.bmp,HD,G Channel,127.73,127.74,5462.39,5461.82,10.30,0.001885
02_Baboon_en.bmp,HD,B Channel,127.58,127.58,5467.46,5467.55,-2.24,-0.000409
02_Baboon_en.bmp,VD,R Channel,127.71,127.71,5436.74,5437.11,-6.97,-0.001283
02_Baboon_en.bmp,VD,G Channel,127.74,127.74,5462.51,5461.63,3.50,0.000640
02_Baboon_en.bmp,VD,B Channel,127.58,127.58,5466.86,5467.17,-2.12,-0.000388
02_Baboon_en.bmp,DD,R Channel,127.71,127.70,5436.50,5436.44,-13.05,-0.002401
